uuid,slug,name,website,found,num_files,errors
d4816dd3-ce2d-4684-a0fb-f418941ac470,underground-pizza,Underground Pizza,http://www.undergroundpizza.com,1,5,
304bf888-492d-4052-972c-e0307bdd68dc,barracuda,Barracuda,https://www.barracudanewhaven.com/,1,5,
ccfd0dd1-f168-434c-9fa3-b5925a6cdd6a,dim-sum-sam,Dim Sum Sam,https://dimsumsam.us,1,5,
7f7e6909-d9d2-407a-b8b5-5bda018a750c,dunkin,Dunkin',https://locations.dunkindonuts.com/en/ct/new-haven/1179-chapel-st/330640,1,5,
4469db83-e108-4409-91b9-6257e41e7113,manucci-s,Manucci's,www.manuccis.com,1,5,
4e56e676-a2c1-4557-a5ad-4290a1d3c146,ruschmeyer-s,Ruschmeyer's,http://www.kingandgrove.com/Montauk-Hotels/Ruschmeyers,1,1,
73d7d7a1-efce-4a5a-a3db-244453a3ab00,gosman-s-topside,Gosman's Topside,www.gosmans.com/topside.html,1,3,
77484642-c43e-412d-b034-e6ee020415b4,gosman-s-clam-bar,Gosman's Clam Bar,www.gosmans.com/clambar.html,1,3,
c8c7aacd-0082-4ba3-b532-449f461f3212,the-coast,The Coast,https://www.thecoastmontauk.com/,1,5,
93f478a5-57ff-4c87-9c77-52e540132d96,the-point,The Point,https://www.pointbarandgrill.com/,1,1,
7fdf1f60-f25d-4ae8-8c0d-22715185ceef,668-the-gig-shack,668 The Gig Shack,https://www.668thegigshack.com/,1,2,
b37c8255-3c2a-44a1-b5a5-55fc02bc26f8,gosman-s-dock-restaurant,Gosman's Dock Restaurant,www.gosmans.com,1,3,
03f0b066-6f82-4572-a47b-b0ece0e8d7d5,south-edison,South Edison,https://www.southedison.com/,1,2,
069f327b-97c7-49c5-9455-b1b0adc8c10b,wasabi-beach-sushi,Wasabi Beach Sushi,https://wasabibeachsushi.com/,1,3,
0bcda6aa-4184-4975-bbfb-5c41961c1308,gosman-s-inlet-cafe,Gosman's Inlet Cafe,www.gosmans.com/inletcafe.html,1,3,
01be37a6-ea71-47d9-bd36-f8d05290e1d5,o-murphy-s-pub-restaurant,O'Murphy's Pub & Restaurant,http://www.omurphyspub.com/,1,5,
469339d4-b6a6-487a-b4f9-dc7debc7a644,east-by-northeast,East by Northeast,www.eastbynortheast.com,1,1,
6a272138-6d85-47ea-8493-9995df9c72da,mainport-fish-chips,Mainport Fish & Chips,http://www.main-port.com/,1,3,
0f03c32b-67e2-46b4-bb33-bad8a8f28bdd,whoopi,Whoopi,https://www.whoopithaicuisine.com/,1,1,
a0b2102c-935b-4ca4-86b9-792772e566e0,dunkin,Dunkin',https://locations.dunkindonuts.com/en/ct/new-britain/118-e-main-st/306803,1,5,
702b9411-afe6-4fe5-8b44-11a8c1d2c960,dunkin,Dunkin',https://locations.dunkindonuts.com/en/ct/new-britain/130-s-main-st/310120,1,5,
4438bcfa-86f6-42ac-a565-d5902e54688e,pret-a-manger,Pret A Manger,https://www.pret.com/en-us/find-a-pret/857%20broadway,1,5,
df96db04-7420-4ed7-868e-27a082373b88,swallow-east-restaurant,Swallow East Restaurant,https://www.swallowrestaurant.com/,1,5,
188521f1-fd96-4e4f-afda-5a6f88a7861a,acapulco,Acapulco,https://acapulcodeliandrestaurant.com/,1,2,
391e84e8-4f64-4e25-86e8-4e7b0065aeb5,mcdonald-s,McDonald's,https://www.mcdonalds.com/us/en-us/location/3025.html,1,5,
ea44e44d-7f10-41d2-824c-aabe2140a9a0,dunkin,Dunkin',https://locations.dunkindonuts.com/en/ny/east-elmhurst/83-10-astoria-blvd/347893,1,5,
0f49043f-2e91-4d44-b7aa-6e8604e9a6ab,dunkin,Dunkin',https://locations.dunkindonuts.com/en/ny/new-york/266-first-ave/310026,1,5,
aa630815-a27b-4323-9173-7f74f610f31a,dunkin-donuts,Dunkin Donuts,https://locations.dunkindonuts.com/en/ny/long-island-city/30-17-39th-ave/355974,1,5,
fa076169-7c5e-48d5-b219-af706eab232a,dunkin,Dunkin',https://locations.dunkindonuts.com/en/nj/woodbridge/458-amboy-ave/331286,1,5,
a1a00c3a-b1c6-4a9c-a10e-c1c59ed98ee3,domino-s,Domino's,https://pizza.dominos.com/new-jersey/dover/28-w-blackwell-street,1,5,
3bcc9a41-09db-4dc4-a2de-f5e80a60554c,sammy-s,Sammy's,www.sammysmtk.com,0,0,homepage_unavailable:None:None
c40a28f0-df60-479e-92e7-55bc141e31fd,kfc,KFC,https://locations.kfc.com/ny/new-york/242-e-14th-st,1,4,
d24eb010-7625-45a2-a5a5-aca08954fe9f,mcdonald-s,McDonald's,https://www.mcdonalds.com/us/en-us/location/25571.html,1,5,
afbe2b29-bac8-4f60-902a-4e29ca776f57,dunkin-donuts,Dunkin' Donuts,https://locations.dunkindonuts.com/en/nj/tinton-falls/4060a-asbury-ave/340234,1,5,
8aa68171-a79c-4bcb-8538-6612125342e4,popeyes,Popeyes,https://www.popeyes.com/store-locator/store/restaurant_84396,1,5,
959fec97-f88f-441d-9348-c4311bc55e75,domino-s,Domino's,https://pizza.dominos.com/new-york/yonkers/471-mclean-ave,1,5,
b5acde8c-318b-4691-aa63-7cd695eef96b,five-guys,Five Guys,https://order.fiveguys.com/menu/nyc-34th-st,1,5,
d3e6e689-9462-444d-83fa-f64c98453995,mcdonald-s,McDonald's,https://www.mcdonalds.com/us/en-us/location/23405.html,1,5,
6b163581-2587-4411-874c-47049eba766e,mcdonald-s,McDonald's,https://www.mcdonalds.com/us/en-us/location/7762.html,1,5,
13dd7d01-6c46-414f-b674-fe12d6813835,five-guys,Five Guys,https://restaurants.fiveguys.com/2847-broadway,1,4,
b1f93593-a81c-4d99-a908-f94b81cd8f2c,the-sloppy-tuna,The Sloppy Tuna,https://thesloppytuna.com/,1,5,
6e90e620-58dd-4dfe-a21d-9540a0d6e7f6,the-chill-grill,The Chill Grill,http://thechillgrill.com,1,1,
6c4b2891-21cd-4035-ad2b-92e7a7d7c86e,dunkin,Dunkin',https://locations.dunkindonuts.com/en/nj/berkeley-heights/384-springfield-ave/340476,1,5,
93533780-4f89-45f3-bc21-1bcea5a3f157,dunkin,Dunkin',https://locations.dunkindonuts.com/en/nj/stirling/1001-valley-rd/307322,1,5,
23ee424f-20de-4d70-b555-f9b6a2420e95,new-york-burger-co,New York Burger Co,https://www.newyorkburgerco.com,1,1,pdf_exception:https://www.newyorkburgerco.com/s/NYBC_Catering_New_Design-copy-3.pdf:name 'convert_pdf_to_html' is not defined
58a065b3-dcfa-4e5b-9984-7ec0ed17f1a4,dunkin,Dunkin',https://locations.dunkindonuts.com/en/ny/new-york/484-9th-ave/350511,1,5,
12f4dfaa-b317-4c7e-a487-25e384e2e088,the-hampton-maid-raire-breakfast-bar,The Hampton Maid Raire / Breakfast /Bar,https://www.hamptonmaid.com/,1,2,pdf_exception:https://www.hamptonmaid.com/_files/ugd/e2d975_381c12133d444dc6a4f49a1ea4842960.pdf:name 'convert_pdf_to_html' is not defined
3aedc827-7cb5-4a50-b9e0-a096b822635a,burger-king,Burger King,https://www.bk.com/store-locator/store/restaurant_2095,1,5,
3ff5bbde-5d3f-42a8-8046-d56c56d7fefd,dunkin,Dunkin',https://locations.dunkindonuts.com/en/ct/new-haven/51-york-st/302697,1,5,
377c7054-9059-45de-b841-f0b78c6078db,panera-bread,Panera Bread,https://locations.panerabread.com/nj/gillette/977-valley-rd.html,1,5,
a1d14e58-c6ba-4596-87c9-560c88c16cc4,golden-wok,Golden Wok,http://www.chelseagoldenwok.com,1,2,
5abb2405-2d5c-430c-87ba-f4c743b10b5f,red-horse-market,Red Horse Market,https://www.redhorsemarket.com/,1,5,
f4de0e69-61d8-4395-b881-e55ea05fd0ba,chipotle,Chipotle,https://locations.chipotle.com/ny/new-york/149-8th-ave,1,5,
214e06de-9455-4397-95f5-30fe98f3b84a,costa-pizza,Costa Pizza,https://costapizzeria.com/,1,5,pdf_exception:https://costapizzeria.com/wp-content/uploads/2025/09/2024-2025-HTO-Halal-Foodservice-Product-Certificate-Monterey-TN-11507.pdf:name 'convert_pdf_to_html' is not defined
814bb29f-083c-440c-858c-4d6f337f10d3,riko-s-pizza,Riko's Pizza,https://www.rikospizza.com/darien,1,3,
1a4a8564-6215-4050-ae4a-6460fb8b0366,joe-s-pizza,Joe's Pizza,https://www.joespizzaon8th.com,1,2,
7d5ba929-4d5e-4654-9d78-b1ff600f73b7,subway,Subway,https://restaurants.subway.com/united-states/ct/fairfield/2341-black-rock-turnpike,1,5,
10c1b1f3-61a2-44f6-8dd6-e84c6ab6f756,panera-bread,Panera Bread,https://locations.panerabread.com/ct/new-haven/1060-chapel-street.html,1,5,
25c5ce9e-4ce6-41a5-9e43-6ff307200405,jersey-mike-s-subs,Jersey Mike's Subs,https://www.jerseymikes.com/19005/fairfield-ct,1,2,
55a666b2-6094-4dfd-914a-7238d4d622b4,lilac-house,Lilac House,https://www.lilachousect.com,1,1,
